"lambda","alpha","beta"
0.130889910231116,0.794237363338112,0.00119230406890062
0.119590870455726,0.80666173550219,0.00100695444947973
0.113018534426637,0.801912094411321,0.00132700835776987
0.0510875883327524,0.726945049756692,0.00104950320969705
0.089918954762384,1.06556401915411,0.00140891550837239
0.118339929259895,1.33236713350963,0.00120908880070883
0.0936862438761673,0.801445275996996,0.000944875041146801
0.318738002252516,0.690915919897655,0.000763641944455008
0.132488204289565,1.12512241674075,0.00162891623661239
0.0695259807047601,1.16788291651551,0.00137501469268053
0.005682173563401,1.25861349658882,0.0013477378179853
0.087824449354955,0.793811595224731,0.00106768238971844
0.0722811870423282,1.17866593808705,0.00131231049735071
0.163763089689036,0.792349505691217,0.000960005078232393
0.12026505825188,0.833854614500022,0.00099185494857063
0.100538549548033,1.5861433566591,0.0015119380019744
0.0954673677772993,0.657696390370943,0.000856324690721074
0.082095219325582,0.658412834849827,0.000823309051933863
0.0937116477484613,0.823594427113753,0.00138575267197033
0.142154781428233,0.776216959866423,0.00167337536139872
0.14818225819972,0.761609502616446,0.00129630545437351
0.107781861353101,0.710312032529454,0.00093765609514883
0.0897881029643352,0.891980961004295,0.00191203168431162
0.13239802724844,0.842306003821492,0.000953118851019078
0.101548573188117,0.832922860107994,0.00115342739583261
0.1044126529436,0.873595427783686,0.000961366535947421
0.111485592579273,1.04897099278039,0.00110967558147241
0.10732870504234,0.98893094368892,0.00131913350073265
0.0973508291179172,0.655282025096441,0.00100919471981654
0.138708424853968,0.744629175646578,0.00119688389291491
0.0714616054789017,1.02075707478071,0.00101612372010862
0.138672987108261,0.862924318697354,0.00112767557212876
0.125106632925583,0.828977147043777,0.000830931685458378
0.103430900450981,0.692333213082653,0.00095595004753299
0.142382601714062,0.779616340195972,0.00117173939541157
0.111860674989458,1.37231925983484,0.00123214168994653
0.0744281534728866,0.828571920339448,0.00138070510155032
0.176014544150363,0.770264465440879,0.000762162917463825
0.186729271034844,1.26897975213339,0.0012101724856945
0.0930435305689792,0.666659413069139,0.000867214367595827
0.076344913947696,0.77345314826771,0.000927002195264696
0.0753436694254034,0.844093537874196,0.000969241710874573
0.0852604052468796,0.834916730640974,0.00119411659675588
0.137772490718822,0.745922588637624,0.000744267502753116
0.111449224228545,1.30277053457284,0.00228903934634004
0.18236952761527,1.04928012988596,0.00143862602855768
0.235612167542522,0.805699589045219,0.00195926573187451
0.0546944333846513,0.616114440158427,0.00106181826313408
0.29785891951785,0.786154069501765,0.000767044993911236
0.125967558908619,0.764548647490565,0.000764401343379023
0.0486835642978271,0.729545129501853,0.000932407750505201
0.140841569009117,0.802599484071229,0.000942281083824493
0.11133885994159,1.02625689613435,0.00139220943410761
0.116924469618168,1.07204788701226,0.00126046762175464
0.189361061234133,0.809044954279093,0.000534888347996687
0.117920572484816,0.696633391198318,0.000913014219689034
0.152203945593311,0.899863980724727,0.00112578173549036
0.128745259260969,1.03770775065397,0.00151155465551423
0.197254443642846,0.676794235458521,0.000814626824978848
0.12358541114656,0.579685844643845,0.000754756888507472
0.15398455011863,0.710763496139636,0.000917785875970247
0.0773760561547881,0.774847014506106,0.00114359667942558
0.139326957680018,1.08263352949473,0.0011305788605778
0.180197570459869,0.68334040546986,0.000884579194221192
0.0803446124307628,0.738744167173045,0.00120393317341732
0.108962749729811,0.767380566528878,0.00104615648060819
0.0979809954129437,0.7158264643146,0.000899590497269272
0.104997767017575,0.953054058235662,0.00135166294767148
0.132787876270021,0.6895545766745,0.000888802876329997
0.0677692810571289,0.861531835792404,0.00146990297540865
0.080234311240419,0.958180205762223,0.00154791446718719
0.0808930460268636,1.01588966292215,0.000660177136714322
0.11542531717094,1.03148453820945,0.00102505769506333
0.13828576071355,1.03148992251605,0.00114668596123713
0.152987069874672,0.760005976841734,0.00149576560913974
0.0525308175124634,0.863595864719468,0.000921752423681412
0.0902367819189961,0.71574463386708,0.00109599668667817
0.0909960360862572,0.819185456732375,0.00137356052897727
0.12310403513082,0.943976796138863,0.000764858889863471
0.084892327225835,1.15377570541057,0.00129599073377412
0.116820732968661,0.78776636782991,0.00138044614752418
0.134514069610646,0.718374108002976,0.000841566791246413
0.18071029441949,0.584711337982768,0.000944131776018553
0.0746544327001087,0.892461519022249,0.00181429060715668
0.107616690928291,0.853655490666968,0.00139391652423863
0.117220577223329,0.652188640123941,0.000806724479808311
0.1281360480565,0.958554823217453,0.00128041728541767
0.0242818577218835,0.947499529464805,0.000807872132259738
0.290570182427454,0.936403809685698,0.000956615190974867
0.0926031011476474,0.873622933111588,0.00164397553920628
0.0891410857728103,0.694093776773521,0.00140509153859512
0.168034906699082,0.687515373598112,0.000724503240977895
0.102372811290204,0.869742053360591,0.00140263013583477
0.0961832874820901,1.66812989520277,0.00132728785780217
0.0930936778905961,0.854240732807942,0.00102288883131003
0.0188631275014653,0.663186434841112,0.000750963890896332
0.0311615230302883,0.75733348701622,0.00145351391869905
0.0764474879458665,0.767331478135504,0.00134878308904565
0.000392166595894663,0.572295165189418,0.000547042486808964
0.0159318700948461,1.24588634910027,0.00158292859771148
0.0702442400464949,0.824149565553416,0.00102948042867668
0.0815778174906199,1.21985322038774,0.00105496816220509
0.325923099566635,0.893050049839929,0.00110836596817695
0.36943377141447,0.727859542638213,0.000931478483167172
0.106189286273256,1.06166702052573,0.00133902622051685
0.00513164142912489,0.820663972610072,0.000714764113944084
0.0173718372264712,1.11873471646811,0.0013261407209849
0.104473636273677,0.755711983691839,0.000848269215888984
0.129912950646155,0.843635465516643,0.0011433862327969
0.0774455967088787,1.12505450203762,0.00116631513755269
0.102852498299463,1.00851457266853,0.00160427676807848
0.103145917844952,0.726084063046915,0.0012903618488835
0.118530164033101,0.947229491322722,0.00150628446053453
0.090938818042243,1.00564577004845,0.00104420663707906
0.161183166786421,0.889899111078331,0.000802989500151524
0.114562873685174,0.870012570453283,0.00131046119592975
0.184606925818524,0.756023761087683,0.000862929585184937
0.0709853815462849,0.663805054532389,0.00124877295043899
0.244576225860317,0.733037176326754,0.00114309511993629
0.0905236219882737,0.811427770914939,0.00130505774474722
0.175606898531789,0.70350703000982,0.000829399381623519
0.138251275020542,0.791281050950834,0.00129843292395073
0.120362287072785,0.854421449365559,0.00120784309789474
0.0855586094137826,0.757628554844593,0.000851792662713939
0.101201846000881,0.827648073702221,0.0012101667761399
0.134910510708229,0.751245665698656,0.00137044084192776
